CampaignID,StartDate,EndDate,Month,Quarter,Channel,Impressions,Clicks,Leads,Conversions,Click Through Rate,Conversion Rate ,Cost Per Acquisition,Cost Per Mille, Cost_USD , Revenue_USD , ROI ,Calculated ROI,Lead to Conversion Rate,ROAS
CAMP00001,13/04/2025,19/04/2025,Apr,Q2,Search,293520,23335,11643,5389,7.95%,23.09%,USD 0.20,USD 3.59,1052.39,2236.02,1.12,112.47%,46.29%,2.12
CAMP00002,15/12/2025,24/12/2025,Dec,Q4,Search,200340,15841,6601,2498,7.91%,15.77%,USD 1.59,USD 19.79,3964.90,11740.15,1.96,196.10%,37.84%,2.96
CAMP00003,28/09/2025,06/10/2025,Sep,Q3,Email,239365,16478,8043,3397,6.88%,20.62%,USD 0.29,USD 4.18,1000.39,1902.24,0.90,90.15%,42.24%,1.90
CAMP00004,17/04/2025,30/04/2025,Apr,Q2,Search,156382,2672,1014,342,1.71%,12.80%,USD 3.66,USD 8.01,1252.63,2209.74,0.76,76.41%,33.73%,1.76
CAMP00005,13/03/2025,22/03/2025,Mar,Q1,Influencer,285472,4155,1521,565,1.46%,13.60%,USD 8.74,USD 17.29,4935.48,14111.31,1.86,185.92%,37.15%,2.86
CAMP00006,08/07/2025,21/07/2025,Jul,Q3,Social,177469,7979,3231,1446,4.50%,18.12%,USD 2.45,USD 19.95,3540.34,3885.94,0.10,9.76%,44.75%,1.10
CAMP00007,21/01/2025,05/02/2025,Jan,Q1,Display,174231,2160,379,107,1.24%,4.95%,USD 18.69,USD 11.48,1999.53,3306.37,0.65,65.36%,28.23%,1.65
CAMP00008,13/04/2025,26/04/2025,Apr,Q2,Display,234598,21435,9052,2295,9.14%,10.71%,USD 1.65,USD 16.17,3793.91,7159.09,0.89,88.70%,25.35%,1.89
CAMP00009,02/05/2025,08/05/2025,May,Q2,Influencer,209438,2474,1207,697,1.18%,28.17%,USD 3.42,USD 11.39,2385.72,2800.53,0.17,17.39%,57.75%,1.17
CAMP00010,03/08/2025,16/08/2025,Aug,Q3,Search,195376,2474,852,251,1.27%,10.15%,USD 4.55,USD 5.85,1142.07,2323.19,1.03,103.42%,29.46%,2.03
CAMP00011,27/11/2025,04/12/2025,Nov,Q4,Social,53998,1343,140,55,2.49%,4.10%,USD 45.29,USD 46.13,2491.07,4360.88,0.75,75.06%,39.29%,1.75
CAMP00012,29/03/2025,06/04/2025,Mar,Q1,Search,107304,7128,918,463,6.64%,6.50%,USD 8.39,USD 36.19,3882.92,7276.43,0.87,87.40%,50.44%,1.87
CAMP00013,10/04/2025,15/04/2025,Apr,Q2,Email,194692,11436,2217,936,5.87%,8.18%,USD 1.04,USD 5.00,973.85,2310.62,1.37,137.27%,42.22%,2.37
CAMP00014,26/12/2025,31/12/2025,Dec,Q4,Search,207001,14356,4255,1931,6.94%,13.45%,USD 1.28,USD 11.98,2479.11,2827.93,0.14,14.07%,45.38%,1.14
CAMP00015,01/06/2025,06/06/2025,Jun,Q2,Email,257862,23315,6190,1642,9.04%,7.04%,USD 0.42,USD 2.66,684.67,2001.69,1.92,192.36%,26.53%,2.92
CAMP00016,11/05/2025,24/05/2025,May,Q2,Display,159957,8149,4006,1434,5.09%,17.60%,USD 2.95,USD 26.44,4229.14,8648.05,1.04,104.49%,35.80%,2.04
CAMP00017,30/05/2025,14/06/2025,May,Q2,Social,12103,168,80,38,1.39%,22.62%,USD 108.21,USD 339.76,4112.15,11010.78,1.68,167.76%,47.50%,2.68
CAMP00018,05/11/2025,17/11/2025,Nov,Q4,Email,281690,22173,5700,1618,7.87%,7.30%,USD 2.10,USD 12.07,3399.93,5565.65,0.64,63.70%,28.39%,1.64
CAMP00019,15/09/2025,24/09/2025,Sep,Q3,Search,260948,21678,9055,3562,8.31%,16.43%,USD 1.29,USD 17.66,4608.11,7497.56,0.63,62.70%,39.34%,1.63
CAMP00020,10/12/2025,19/12/2025,Dec,Q4,Search,151528,2195,778,338,1.45%,15.40%,USD 6.09,USD 13.59,2059.75,5783.01,1.81,180.76%,43.44%,2.81
CAMP00021,21/10/2025,03/11/2025,Oct,Q4,Display,285372,9090,1793,924,3.19%,10.17%,USD 0.81,USD 2.62,746.69,922.13,0.23,23.50%,51.53%,1.23
CAMP00022,11/07/2025,18/07/2025,Jul,Q3,Influencer,267190,21202,10017,2870,7.94%,13.54%,USD 1.70,USD 18.27,4880.60,5893.60,0.21,20.76%,28.65%,1.21
CAMP00023,04/10/2025,11/10/2025,Oct,Q4,Influencer,221014,9692,1975,1167,4.39%,12.04%,USD 2.24,USD 11.83,2614.07,6258.53,1.39,139.42%,59.09%,2.39
CAMP00024,10/06/2025,21/06/2025,Jun,Q2,Search,120965,6355,2847,1671,5.25%,26.29%,USD 1.45,USD 20.09,2430.02,4694.93,0.93,93.21%,58.69%,1.93
CAMP00025,10/11/2025,23/11/2025,Nov,Q4,Influencer,20930,1759,624,127,8.40%,7.22%,USD 3.25,USD 19.70,412.25,1003.68,1.43,143.46%,20.35%,2.43
CAMP00026,22/01/2025,01/02/2025,Jan,Q1,Social,85823,1589,553,191,1.85%,12.02%,USD 15.16,USD 33.73,2894.85,5401.22,0.87,86.58%,34.54%,1.87
CAMP00027,10/09/2025,16/09/2025,Sep,Q3,Influencer,256025,18166,7908,1796,7.10%,9.89%,USD 1.81,USD 12.73,3259.23,4639.47,0.42,42.35%,22.71%,1.42
CAMP00028,24/08/2025,29/08/2025,Aug,Q3,Social,204494,6001,1786,583,2.93%,9.72%,USD 4.15,USD 11.83,2418.62,5878.43,1.43,143.05%,32.64%,2.43
CAMP00029,11/12/2025,17/12/2025,Dec,Q4,Search,83880,1311,578,255,1.56%,19.45%,USD 17.89,USD 54.38,4561.00,4917.26,0.08,7.81%,44.12%,1.08
CAMP00030,18/02/2025,23/02/2025,Feb,Q1,Search,223626,15569,4983,2209,6.96%,14.19%,USD 1.69,USD 16.71,3737.65,7086.30,0.90,89.59%,44.33%,1.90
CAMP00031,28/02/2025,14/03/2025,Feb,Q1,Search,177827,3721,1837,438,2.09%,11.77%,USD 0.66,USD 1.63,289.24,554.56,0.92,91.73%,23.84%,1.92
CAMP00032,19/06/2025,03/07/2025,Jun,Q2,Display,188552,14561,5299,2495,7.72%,17.13%,USD 1.11,USD 14.63,2758.59,3188.53,0.16,15.59%,47.08%,1.16
CAMP00033,07/07/2025,20/07/2025,Jul,Q3,Influencer,12293,347,86,46,2.82%,13.26%,USD 108.02,USD 404.21,4969.00,7370.33,0.48,48.33%,53.49%,1.48
CAMP00034,28/09/2025,12/10/2025,Sep,Q3,Email,73542,1056,428,193,1.44%,18.28%,USD 5.59,USD 14.67,1078.76,1639.65,0.52,51.99%,45.09%,1.52
CAMP00035,09/07/2025,21/07/2025,Jul,Q3,Email,65528,1240,376,121,1.89%,9.76%,USD 25.82,USD 47.68,3124.16,8703.85,1.79,178.60%,32.18%,2.79
CAMP00036,24/06/2025,05/07/2025,Jun,Q2,Search,113885,9761,4123,828,8.57%,8.48%,USD 1.74,USD 12.65,1440.13,2916.67,1.03,102.53%,20.08%,2.03
CAMP00037,20/02/2025,27/02/2025,Feb,Q1,Influencer,150771,6541,2834,1301,4.34%,19.89%,USD 1.48,USD 12.74,1920.27,4496.36,1.34,134.15%,45.91%,2.34
CAMP00038,30/12/2025,11/01/2026,Dec,Q4,Social,164506,6120,2122,999,3.72%,16.32%,USD 0.27,USD 1.61,264.81,293.89,0.11,10.98%,47.08%,1.11
CAMP00039,24/02/2025,02/03/2025,Feb,Q1,Email,59669,3234,1451,701,5.42%,21.68%,USD 4.95,USD 58.17,3470.79,4189.11,0.21,20.70%,48.31%,1.21
CAMP00040,01/09/2025,07/09/2025,Sep,Q3,Search,284746,19067,4983,1074,6.70%,5.63%,USD 3.59,USD 13.53,3852.05,8192.31,1.13,112.67%,21.55%,2.13
CAMP00041,16/11/2025,01/12/2025,Nov,Q4,Email,176858,2359,290,117,1.33%,4.96%,USD 33.22,USD 21.98,3887.29,10379.97,1.67,167.02%,40.34%,2.67
CAMP00042,11/05/2025,25/05/2025,May,Q2,Email,277096,25170,9188,3357,9.08%,13.34%,USD 1.45,USD 17.52,4855.66,5370.17,0.11,10.60%,36.54%,1.11
CAMP00043,03/11/2025,10/11/2025,Nov,Q4,Email,121032,11650,4727,2396,9.63%,20.57%,USD 1.76,USD 34.75,4205.60,12477.79,1.97,196.69%,50.69%,2.97
CAMP00044,15/05/2025,26/05/2025,May,Q2,Search,37905,1802,232,113,4.75%,6.27%,USD 9.89,USD 29.48,1117.27,3095.83,1.77,177.09%,48.71%,2.77
CAMP00045,21/01/2025,26/01/2025,Jan,Q1,Search,182996,8625,3522,2043,4.71%,23.69%,USD 0.60,USD 6.72,1229.73,3377.20,1.75,174.63%,58.01%,2.75
CAMP00046,25/11/2025,07/12/2025,Nov,Q4,Display,18381,1637,582,325,8.91%,19.85%,USD 11.89,USD 210.17,3863.15,3930.17,0.02,1.73%,55.84%,1.02
CAMP00047,16/06/2025,27/06/2025,Jun,Q2,Display,255666,12435,1822,771,4.86%,6.20%,USD 5.07,USD 15.28,3906.84,7082.26,0.81,81.28%,42.32%,1.81
CAMP00048,01/10/2025,09/10/2025,Oct,Q4,Display,295274,25705,8122,4809,8.71%,18.71%,USD 0.15,USD 2.38,702.91,1821.61,1.59,159.15%,59.21%,2.59
CAMP00049,30/03/2025,08/04/2025,Mar,Q1,Email,35415,444,63,16,1.25%,3.60%,USD 8.28,USD 3.74,132.50,333.53,1.52,151.72%,25.40%,2.52
CAMP00050,12/11/2025,26/11/2025,Nov,Q4,Influencer,185200,10013,2289,464,5.41%,4.63%,USD 4.45,USD 11.16,2066.76,3495.47,0.69,69.13%,20.27%,1.69
CAMP00051,14/01/2025,19/01/2025,Jan,Q1,Search,89679,8583,3618,879,9.57%,10.24%,USD 3.99,USD 39.07,3503.90,9654.22,1.76,175.53%,24.30%,2.76
CAMP00052,30/08/2025,07/09/2025,Aug,Q3,Display,120458,3945,553,189,3.28%,4.79%,USD 23.00,USD 36.08,4346.66,9876.13,1.27,127.21%,34.18%,2.27
CAMP00053,22/09/2025,27/09/2025,Sep,Q3,Influencer,136460,4633,1314,659,3.40%,14.22%,USD 1.38,USD 6.67,910.12,2719.35,1.99,198.79%,50.15%,2.99
CAMP00054,12/12/2025,17/12/2025,Dec,Q4,Display,82652,5513,1887,666,6.67%,12.08%,USD 6.15,USD 49.54,4094.93,6836.28,0.67,66.94%,35.29%,1.67
CAMP00055,22/02/2025,08/03/2025,Feb,Q1,Display,155878,14552,6929,3549,9.34%,24.39%,USD 0.97,USD 22.16,3453.83,7899.24,1.29,128.71%,51.22%,2.29
CAMP00056,06/12/2025,11/12/2025,Dec,Q4,Influencer,69333,1933,763,379,2.79%,19.61%,USD 2.41,USD 13.17,913.18,1688.45,0.85,84.90%,49.67%,1.85
CAMP00057,02/04/2025,13/04/2025,Apr,Q2,Display,241388,22436,3493,1808,9.29%,8.06%,USD 2.42,USD 18.14,4379.09,10050.49,1.30,129.51%,51.76%,2.30
CAMP00058,21/09/2025,02/10/2025,Sep,Q3,Email,115930,8076,3937,1082,6.97%,13.40%,USD 4.32,USD 40.30,4671.64,7098.74,0.52,51.95%,27.48%,1.52
CAMP00059,04/02/2025,12/02/2025,Feb,Q1,Email,271996,27029,7870,3198,9.94%,11.83%,USD 0.44,USD 5.16,1402.45,2475.26,0.76,76.50%,40.64%,1.76
